,neighborhood,section,city,latitude,longitude,venue_id,venue_name,venue_lat,venue_lon,venue_cat_id,venue_cat_name
90,begumpet,Central,Hyderabad,17.4440199,78.4624821,4db98e54cda10f31e62ed98b,Mayur Pan Palace,17.439965221462277,78.47970022754974,4d4b7105d754a06374d81259,Food
91,begumpet,Central,Hyderabad,17.4440199,78.4624821,4d11b1daed943704e4821962,Naturals,17.443412892165483,78.47966444030934,4bf58dd8d48988d1c9941735,Ice Cream Shop
92,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e2bec9db0fbc2edac26fa5d,Ohris 70 Mm,17.43176209502125,78.46493344845405,4bf58dd8d48988d10f941735,Indian Restaurant
93,begumpet,Central,Hyderabad,17.4440199,78.4624821,4be7d1b5e1b39521a82321c1,Haveli,17.43660259838764,78.4570359807387,4bf58dd8d48988d10f941735,Indian Restaurant
94,begumpet,Central,Hyderabad,17.4440199,78.4624821,4d63dac5d6b26ea8fafc537a,Santosh Dhaba,17.439442049412662,78.44825947961927,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
95,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e86e67a02d5d67a53fa25c1,Cafe coffee day,17.42840492228004,78.4594728388955,4bf58dd8d48988d1e0931735,Coffee Shop
96,begumpet,Central,Hyderabad,17.4440199,78.4624821,4c1af37b63750f472039b467,Minerva Coffee Shop,17.43729470969034,78.44607353210449,4bf58dd8d48988d10f941735,Indian Restaurant
97,begumpet,Central,Hyderabad,17.4440199,78.4624821,4b76a4b9f964a52015562ee3,Landmark,17.429828905037645,78.45648643066698,4bf58dd8d48988d114951735,Bookstore
98,begumpet,Central,Hyderabad,17.4440199,78.4624821,4c873833d8086dcb8886a052,Walden,17.431352667887232,78.45597851051441,4bf58dd8d48988d114951735,Bookstore
99,begumpet,Central,Hyderabad,17.4440199,78.4624821,4eb164ac5c5c80159ca218cd,Sher-e-Punjab Dhaba,17.438454224287543,78.4522620128154,4bf58dd8d48988d10f941735,Indian Restaurant
100,sr nagar,Central,Hyderabad,17.445231200000002,78.4449117,5050c114e4b0694f643d178e,Mekong,17.437151274600346,78.45430121130967,4bf58dd8d48988d145941735,Chinese Restaurant
101,sr nagar,Central,Hyderabad,17.445231200000002,78.4449117,4bac7d4df964a5205df73ae3,10 Downing Street,17.43586817493973,78.45744348829194,4bf58dd8d48988d11b941735,Pub
102,sr nagar,Central,Hyderabad,17.445231200000002,78.4449117,4c543cc0728920a13abe6a82,Kebabs & Kurries,17.432374144194686,78.4575851947717,4bf58dd8d48988d10f941735,Indian Restaurant
103,sr nagar,Central,Hyderabad,17.445231200000002,78.4449117,4e1b27cbd22ddd4af9ea6366,ITC Kakatiya,17.432514031982514,78.45735255628313,4bf58dd8d48988d1fa931735,Hotel
104,sr nagar,Central,Hyderabad,17.445231200000002,78.4449117,4e5b27778877c8a76dfc0f0c,Vivanta by Taj,17.44349840742226,78.4605560466047,4bf58dd8d48988d1fa931735,Hotel
105,sr nagar,Central,Hyderabad,17.445231200000002,78.4449117,4c20d4ac8082d13aae41f82a,Kakatiya Deluxe Mess,17.43343498288722,78.44709027868556,4bf58dd8d48988d147941735,Diner
106,sr nagar,Central,Hyderabad,17.445231200000002,78.4449117,4cc1c709967d5481df0b7a57,Naturals Ice Cream,17.428535674867554,78.43962029681225,4bf58dd8d48988d1c9941735,Ice Cream Shop
107,sr nagar,Central,Hyderabad,17.445231200000002,78.4449117,4e7c2febb803b97a5cca6961,Marigold,17.437115814454355,78.45450571069824,4bf58dd8d48988d1fa931735,Hotel
